period,rank,label,kind,candidate_group,recommended_keep,x,y
2026,23,신뢰,token,top_token,,-0.7547418712985576,0.3116169122814216
2026,24,믿음,token,top_token,,-0.5304121564472112,-0.35024712069687014
2026,25,조언,token,top_token,,1.0338279653384213,-0.6117319022277983
2026,26,분석,token,top_token,,-1.1138277377849373,0.02513223149438348
2026,27,매수,token,top_token,,1.3244746305265231,-1.371725739992659
2026,28,매도,token,top_token,,0.9115887415571887,-0.6579417127494319
2026,29,수익,token,top_token,,0.38472494999566187,-0.32039055040474856
2026,30,손절,token,top_token,,0.39188579463955747,-0.003121758280864243
2026,31,삼전,token,top_token,,1.8911598362440782,0.8039204278590993
2026,32,삼성전자,token,top_token,,1.0132799561144517,-1.3675378440573127
2026,33,반도체,token,top_token,,1.0051356290051652,-0.9163491669018085
2026,34,코스피,token,top_token,,1.1553622269953563,-0.6777383990531531
2026,35,환율,token,top_token,,-1.2236434308686126,1.1780761523194963
2026,36,금리,token,top_token,,-1.4837382315175762,1.2423489273723434
2026,37,인플레이션,token,top_token,,-1.2149941358461909,0.6783705492170968
2026,38,위기,token,top_token,,-1.6810117133133924,-0.5055465792709581
2026,39,경고,token,top_token,,0.15113089106167166,-0.2374367358479077
2026,40,투자자,token,top_token,,-0.09997532100844454,-1.890327538357051
2026,41,커뮤니티,token,top_token,,-0.019962432010357915,0.674806856931905
2026,42,위폴,token,top_token,,0.9411341030071371,1.1127400242917302
2026,43,알멘,token,top_token,,-0.009709206603979772,0.04923488739014456
2026,44,유튜버,token,top_token,,0.3951642421624492,0.32444673794936885
2026,45,매매법,token,top_token,,0.7939519976613455,0.10587237222697891
2026,46,누나,token,top_token,,0.4587324169382197,0.25896540405910384
2026,47,반도체누나,token,top_token,,0.35156536233961755,-0.0020978617019028964
2026,48,생각,token,top_token,,0.4951389521665792,0.14709205289063587
2026,49,기업,token,top_token,,-1.1226530486313515,-1.2803634484995279
2026,50,질문,token,top_token,,-1.7503348986280727,0.10018249010699569
2026,51,정치,token,top_token,,-1.4271479159630893,-1.0150263026385806
2026,52,사람,token,top_token,,0.10801505088356886,0.9429659469405755
2026,53,가능,token,top_token,,-0.26456245364130193,-0.8908302997953843
2026,54,정부,token,top_token,,-1.595440643016612,-0.643224795026963
2026,55,이유,token,top_token,,-0.7812805387980732,1.0468444047315681
2026,56,결론,token,top_token,,-2.4249127012531004,-0.3853585137410244
2026,57,국가,token,top_token,,-1.6508225867700352,-1.0987775765198677
2026,58,시작,token,top_token,,-0.21845769658437997,0.4815199309738344
2026,59,쿠팡,token,top_token,,-1.510895005130686,0.08517626398664273
2026,60,이익,token,top_token,,-0.8648584768522355,-2.346377804376105
2026,61,지적,token,top_token,,-1.646280485051735,0.42423679185816326
2026,62,정리,token,top_token,,0.6161870296250376,1.5135282223897657
2026,63,요약,token,top_token,,-0.9704875187428171,-0.1834090820067337
2026,64,상황,token,top_token,,-0.5909651445669605,-0.4650189798466874
2026,65,결과,token,top_token,,-1.7599461500295095,-0.18881811862437822
2026,66,달러,token,top_token,,-1.5158217567563885,2.0030436070788493
2026,67,미래,token,top_token,,-0.018678788524952257,-0.4172744803769995
2026,68,트럼프,token,top_token,,0.03424815703538403,-0.565640069891751
2026,69,국장,token,top_token,,1.1586714532777518,-1.5207996248986146
2026,70,종목,token,top_token,,0.979889807444678,0.34245962796231205
이벤트주간,1,슈카,member,anchor,yes,0.2725006620534502,0.4214508953284365
이벤트주간,2,리서치,token,anchor_neighbor,yes,0.40204961353449464,0.6611724809504965
이벤트주간,3,지배,token,anchor_neighbor,yes,0.301364043831279,0.37480896217628645
이벤트주간,4,조언,token,anchor_neighbor,yes,0.5213055782553351,0.682588485423815
이벤트주간,5,믿음,token,anchor_neighbor,yes,0.1324784935516877,0.3341270734609341
이벤트주간,6,도움,token,anchor_neighbor,yes,0.2912522640657612,0.15572342748017998
이벤트주간,7,알상무,member,anchor_neighbor,yes,-0.41291578554720343,-0.9243652418871317
